,mean_dist_to_outlet,Qpeak_reduction,cost
_1970270,13788.202789293655,27.47749328613281,641325.6828364925
_2000017,13993.464297049266,27.767379760742188,661824.6083838209
_1940059,14554.68649714879,28.74325561523437,676683.4233691066
_1960289,13864.05246356062,29.47789001464844,697234.8153270697
_1960204,14223.157216868696,30.748275756835938,726593.1336030341
_2000188,14224.102778765273,31.02940368652344,767468.0581722119
_1980352,14059.534574928777,31.07333374023437,782698.3872934958
_2000348,14232.003648588787,31.61705017089844,791437.908677812
_1950277,14296.17000643107,31.63958740234375,795127.0530653927
_1980045,14171.433391066917,32.66099548339844,838507.1932953522
_2000223,14274.265882303851,33.28578186035156,867975.0543564473
_1980255,14251.134174024255,33.537139892578125,884470.1089947823
_1910029,14404.616138782167,34.554046630859375,896844.1416196998
_1880221,14137.096179849026,35.56640625,900537.0869562889
_1990038,13994.922928981416,35.647216796875,922530.3220496431
_1990039,13846.004496819844,36.36064147949219,944751.3510336304
_1960114,13868.615457489586,36.82730865478516,987196.976803864
_2000314,13886.525794796198,37.00523376464844,1011917.4346880808
_1960259,14212.711940992478,37.47161865234376,1018921.2390986992
_1990055,14189.610080738015,38.640357971191406,1048674.9800789228
_2000143,14317.41113184019,39.03343963623048,1077188.3332018214
_1990071,14188.98536093361,39.44849395751952,1118686.9383563711
_1920002,14337.333808721365,40.29387664794922,1128686.641352306
_2000275,14273.111707329685,41.09751129150391,1154107.152830419
_1950141,14425.966348440812,41.5518035888672,1240580.9834548496
_1980332,14621.764707941113,41.73687744140624,1279918.268052135
_2000132,14538.00951901889,41.79335021972656,1300447.380794947
_2000303,14436.075084096103,42.986366271972656,1323014.5414548763
_1960021,14205.111826687875,43.6623992919922,1350891.9698262908
_1990118,14002.956770323795,43.93950653076172,1417727.2148835268
_2000184,13890.162607071938,44.62303161621094,1427922.2123017055
_1990341,13763.826698081151,44.87898254394533,1500147.7678943523
_1980305,14096.8912212322,45.34954833984376,1516448.9305776022
_2000109,14196.187200328006,45.43701171875,1536190.63951408
_2000308,13971.567089499367,45.69374847412109,1567488.0270539897
_1990072,14035.710377997184,45.79754638671877,1615997.5999201557
_2000119,13960.151449701396,46.03014373779296,1653070.085633808
_1990056,14490.945738685577,46.0587158203125,1684487.928538408
_1970302,14234.543012301287,46.7391357421875,1686150.95292583
_2000095,14183.777764176599,47.118537902832045,1720271.4431030103
_1980036,14203.844577598884,47.287872314453125,1792425.4214191935
_1990249,14057.719216168207,48.67363739013672,1795031.4299579682
_1970008,13857.358059433996,49.0115966796875,1947925.2477975069
_2000194,13763.161107867669,49.85700225830078,1977337.4809825013
_1980159,13227.740563340094,50.01112365722656,1982419.559608912
_2000274,13299.758843053092,50.149932861328125,2020217.9129160184
_2000090,13137.641664814573,50.25520324707033,2028884.08253822
_2000234,13247.918861462435,50.561622619628906,2042049.7291498608
_2000108,13149.476190944537,50.858001708984375,2131995.7891769893
_2000069,13255.796633429736,51.17726135253906,2132087.849329734
_2000093,13206.031718053982,51.5475616455078,2157078.688255751
_2000249,13141.797541920072,51.63799285888672,2174683.2752089384
_2000296,13333.843751199676,51.993049621582045,2202522.88064827
_1980324,13518.727454473266,52.26644134521485,2234707.770381608
_1990087,13141.887536543376,52.608283996582045,2332902.697503577
_2000264,13284.42592521326,52.75584411621094,2333030.9663125384
_1980291,13335.275557690215,53.198333740234375,2339726.8129997174
_2000318,13337.301783839479,53.43576049804688,2380308.0797228715
_2000159,13471.292331683022,53.495941162109375,2501342.77924865
_2000146,13398.057575628887,53.74127197265624,2509856.7652493184
_2000026,13325.658781622516,53.92876434326172,2530052.7987982314
_1960208,13448.03228324842,54.5447998046875,2551267.749063773
_2000311,13498.376967077524,54.546966552734375,2564623.1601049653
_1870204,13476.235978246772,55.0164031982422,2616372.7323802235
_1990296,13641.24770432052,55.152320861816406,2639574.125298936
_1970187,13660.204954289547,55.9064483642578,2648570.572389018
_2000111,13691.967748675761,56.00384521484376,2656503.803805868
_2000139,13730.15984576346,56.00797271728516,2664595.8584472924
_1990132,13730.727742968294,56.22153472900391,2698998.192963256
_1980128,13707.005666991865,56.41139221191406,2747351.5930987736
_2000344,13711.396542840572,56.45981597900391,2797596.558369144
_1980299,13745.933897411633,56.792266845703125,2807720.0850995136
_1980240,13840.10324551105,57.595794677734375,2893784.4266733257
_1990034,13777.364451279238,57.7449951171875,2930188.7815929363
_1960254,13610.446796109654,57.88522338867188,3014630.1340884897
_1990007,13490.681571547459,58.21900939941406,3075041.253779577
_2000307,13495.386399501542,58.529205322265625,3126105.975734569
_2000085,13539.958397741153,58.54286956787109,3146024.6431746823
_2000152,13585.943794042527,58.75284576416016,3152052.846722167
_2000167,13461.972993140562,58.863555908203125,3189585.6715028523
_2000210,13509.204447923616,58.97921752929688,3206651.190164389
_2000065,13487.778479089951,59.031211853027344,3213397.316454063
_1970118,13453.202044484704,59.23980712890624,3267488.9253988247
_1990097,13603.082102314702,59.51447296142578,3338650.233592026
_2000086,13503.421899394103,59.51732635498048,3422522.385994036
_1980116,13513.067558724932,59.82487487792967,3430075.4066959424
_2000014,13456.094555851965,60.11785125732422,3504060.915548127
_1970253,13554.540805017283,60.2495574951172,3521555.6894655144
_2000083,14001.660649755117,60.460060119628906,3580241.742896922
_1990321,13921.848438215893,60.686279296875,3606487.935796455
_1990300,13824.694023994793,60.99506378173828,3675079.134336209
_1990005,13567.652266719024,61.29059600830078,3709718.3998656953
_2000342,13479.102304817592,61.366096496582045,3747987.1505410126
_2000124,13514.018645367132,61.38059997558594,3760799.515649988
_1990099,13856.423741704171,61.66249084472656,3762075.4791331687
_2000110,13882.215301254593,61.67180633544922,3765199.4844849855
_1960207,13855.573835978248,61.86641693115234,3827233.142597177
_2000160,13896.196222352597,62.00392150878906,3856917.361068377
_1990074,13588.490507213206,62.19053649902344,3972852.530591795
_1960039,13431.027968879343,62.3300323486328,4090948.400295188
_1970230,13525.70870859196,63.01081085205078,4112116.178262048
_1990334,13445.545400652662,63.19745635986328,4139730.199605453
_1970013,13540.796008226516,63.47127532958984,4174894.481099747
_2000208,13581.141342418921,63.62374877929688,4195478.846708951
_1990297,13575.203283316441,64.0233917236328,4196728.995227946
_2000340,13575.144276914152,64.09017181396484,4220144.908347343
